// has_river_city and has_coastal_city have no apparent function. We use them as is_desert and is_lush instead

extend Realms.europe.*;has_rivers;has_river_city;has_coastal_city;has_mountains;seas_count;has_distant_port
Jutland;false;false;false;false;2;false
Holland;true;false;false;false;1;false
Gilan;false;false;false;false;1;false
Warwickshire;false;false;false;false;0;false
Al_Jadid;true;false;false;false;0;false
Zemaitija;false;false;false;false;1;false
Vologda;true;false;false;false;0;false
Lebanon;false;false;false;false;1;false
Rabat;false;false;false;false;1;false
Cappadocia;true;false;false;true;0;false
Buda;true;false;false;false;0;false
Transjordania;false;true;false;false;0;false
Hayastan;false;false;false;true;0;false
Uglich;true;false;false;false;0;false
Agder;false;false;false;false;2;false
Sarkel;true;false;false;false;0;false
Sawakin;false;true;false;false;1;false
Cordoba;true;false;false;false;0;false
Halland;false;false;false;false;1;false
Turov;true;false;false;false;0;false
Hamburg;true;false;false;false;2;false
Kurdistan;false;false;false;true;0;false
Cilicia;false;false;false;true;1;false
Volhynia;false;false;false;false;0;false
Scania;false;false;false;false;2;false
Lublin;true;false;false;false;0;false
Franconia;false;false;false;false;0;false
Silesia;false;false;false;false;0;false
Crete;false;false;false;false;3;true
Asrir;false;false;false;false;1;true
Tripolitania;false;true;false;false;1;false
Connaught;false;false;false;false;1;false
Branichevo;true;false;false;false;0;false
Catalonia;true;false;false;true;1;false
Corsica;false;false;false;false;2;true
Galicia;false;false;false;false;1;false
Bosnia;true;false;false;true;0;false
Strymon;false;false;false;false;1;false
Granada;true;false;false;false;1;false
Baranya;false;false;false;false;0;false
Damascus;false;false;false;false;0;false
Lombardy;false;false;false;true;0;false
Orleannais;true;false;false;false;0;false
Calabria;false;false;false;false;2;false
Sutherland;false;false;false;true;3;false
Nitra;true;false;false;false;0;false
Alexandria;true;false;false;false;1;false
Pontos;true;false;false;false;2;false
Al_Maqhrus;true;false;false;false;1;false
Salalah;false;true;false;false;1;true
Smaland;false;false;false;false;1;false
Kent;false;false;false;false;2;false
Ragusa;false;false;false;true;1;false
Swabia;true;false;false;true;0;false
Dongola;true;false;false;false;0;false
Tahert;false;false;false;true;0;false
Andalucia;true;false;false;false;1;false
Tyrol;false;false;false;true;0;false
Draa;false;true;false;false;0;false
Pskov;false;false;false;false;0;false
Munster;false;false;false;false;2;true
Chaldia;false;false;false;true;1;false
Kuyava;true;false;false;false;1;false
Bohemia;false;false;false;true;0;false
Dyrrachion;false;false;false;true;2;false
Murom;true;false;false;false;0;false
Gotland;false;false;false;false;1;true
Cyprus;false;false;false;false;2;true
Taron;false;false;false;false;0;false
Poznan;false;false;false;false;0;false
Zhytomyr;false;false;false;false;0;false
Raqqa;true;false;false;false;0;false
Gwynedd;false;false;false;false;1;false
Nottinghamshire;false;false;false;false;1;false
Ruthenia;true;false;false;false;0;false
Tarnovo;true;false;false;false;0;false
Kermanshah;true;false;false;false;1;false
Minsk;true;false;false;false;0;false
Manych;true;false;false;false;1;false
Leon;false;false;false;true;0;false
Mosul;true;false;false;false;0;false
Astrakhan;true;false;false;false;1;false
Luxembourg;true;false;false;false;0;false
Botnia;false;false;false;false;0;false
Edessa;true;false;false;false;0;false
Al_Maqqah;false;false;false;true;1;false
Lothian;false;false;false;true;2;false
Apulia;false;false;false;false;2;false
Constantinopolis;false;false;false;false;3;false
Karelia;false;false;false;false;1;true
Finland;false;false;false;false;1;false
Poitou;true;false;false;false;1;false
Tuscany;false;false;false;true;2;false
Ukek;true;false;false;false;0;false
Brittany;false;false;false;false;2;false
Malta;false;false;false;false;2;true
Scodra;false;false;false;true;1;false
Zealand;false;false;false;false;1;false
Fez;false;false;false;true;0;false
Zagreb;false;false;false;true;0;false
Transylvania;true;false;false;true;0;false
Northumberland;false;false;false;false;4;false
Cairo;true;false;false;false;1;false
Hampshire;false;false;false;false;2;false
Alania;false;false;false;false;1;false
Samandar;false;false;false;false;1;true
Brandenburg;true;false;false;false;0;false
Extremadura;false;false;false;true;0;false
Aquitaine;false;false;false;false;1;false
Moravia;false;false;false;true;0;false
Vytebsk;true;false;false;false;0;false
Ostergotland;false;false;false;false;2;false
Agnafit;false;false;false;false;1;false
Yaroslavl;true;false;false;false;0;false
Bdin;true;false;false;true;0;false
Rhineland;true;false;false;false;0;false
Ustyug;false;false;false;false;0;false
Tver;true;false;false;false;0;false
Austria;true;false;false;false;0;false
Burgos;false;false;false;true;0;false
Tunisia;false;false;false;true;2;true
Pomerania;false;false;false;false;1;false
Burgundy;true;false;false;false;0;false
Perm;false;false;false;false;0;false
Lithuania;true;false;false;false;0;false
Algarve;false;false;false;false;2;false
Muscovy;false;false;false;false;0;false
Lycia;false;false;false;true;1;false
Trakai;true;false;false;false;1;false
Liguria;false;false;false;false;1;false
Wallachia;true;false;false;false;0;false
Cherkasy;true;false;false;false;0;false
Yedisan;true;false;false;false;2;false
Izyum;true;false;false;false;1;false
Hajdusag;true;false;false;false;0;false
Poltava;true;false;false;false;0;false
Aqaba;false;false;false;false;1;false
Matrouh;false;false;false;false;1;true
Acre;false;false;false;false;2;false
Laanemaa;false;false;false;false;1;false
Salamanca;false;false;false;false;0;false
Crimea;false;false;false;false;2;false
Thrace;false;false;false;false;2;false
Bursa;false;false;false;false;2;false
Izmir;false;false;false;false;1;false
Menteshe;false;false;false;false;2;false
Sardis;false;false;false;false;0;false
Konya;false;false;false;true;1;false
Amasya;true;false;false;false;1;false
Marrakesh;false;false;false;true;1;false
Asturia;false;false;false;true;1;false
Nicaea;false;false;false;false;2;false
Ankara;true;false;false;false;0;false
Homs;true;true;false;false;0;false
Ascalon;false;false;false;false;1;false
Regensburg;true;false;false;true;0;false
Ljubljana;false;false;false;true;1;false
Auvergne;true;false;false;false;0;false
Achaea;false;false;false;false;2;false
Lorraine;false;false;false;true;0;false
Abauj;false;false;false;true;0;false
Tlemcen;false;false;false;true;0;false
Kabylia;false;false;false;false;2;true
Al_Wahran;false;false;false;false;1;false
Bacs;true;false;false;false;0;false
Pomerelia;false;false;false;false;1;false
Uusima;false;false;false;false;1;false
Sieradz;false;false;false;false;0;false
Kashubia;true;false;false;false;1;false
Mecklenburg;false;false;false;false;2;false
Friesland;false;false;false;false;1;false
Taoudenni;false;true;false;false;0;false
Toulouse;false;false;false;true;1;false
Vyatka;true;false;false;false;0;false
Rogaland;false;false;false;true;2;false
Viken;false;false;false;true;1;false
Carinthia;true;false;false;true;0;false
Glamorgan;false;false;false;false;1;false
Devon;false;false;false;false;3;false
London;false;false;false;false;1;false
West_Flanders;true;false;false;false;2;false
East_Flanders;true;false;false;false;0;false
Alsace;true;false;false;false;0;false
Pfalz;true;false;false;false;0;false
Wadi_Al_Batin;false;true;false;false;1;false
Malopolska;false;false;false;false;0;false
Warsawa;true;false;false;false;0;false
Halychyna;true;false;false;false;0;false
Estremadura;false;false;false;false;3;false
Bern;false;false;false;true;0;false
Zurich;false;false;false;true;0;false
Berestia;true;false;false;false;0;false
Polesia;true;false;false;false;0;false
Taman;false;false;false;false;1;true
Imereti;false;false;false;true;1;false
Severin;true;false;false;false;0;false
Sinai;false;true;false;false;1;false
Algiers;false;false;false;false;1;true
Qeirwan;false;false;false;false;1;false
Adiyaman;true;false;false;true;0;false
Zaragoza;true;false;false;false;1;false
Adrar;false;true;false;false;0;false
Amogjar;false;true;false;false;1;false
Alodia;true;false;false;false;0;false
Darfur;false;true;false;false;0;false
Waddai;false;true;false;false;0;false
Air;false;true;false;false;0;false
Qazvin;false;false;false;true;1;false
Bushehr;false;false;false;true;1;false
Yazd;false;false;false;true;0;false
Qena;true;false;false;false;1;false
Kyiv;true;false;false;false;0;false
Shirvan;false;false;false;false;1;false
Dagestan;false;false;false;false;2;false
Vinnytsia;true;false;false;false;1;false
Podolia;true;false;false;false;0;false
Zalesye;true;false;false;false;0;false
Mologa;true;false;false;false;0;false
Galitch;true;false;false;false;0;false
Meissen;true;false;false;false;0;false
Baltic_Sea;false;false;false;false;2;false
Balearic_Sea;false;false;false;false;3;false
Western_Mediterranean;false;false;false;false;4;false
Bay_Of_Biscay;false;false;false;false;3;false
Western_Black_Sea;false;false;false;false;2;false
Tyrrhenian_Sea;false;false;false;false;4;false
Outer_Hebriders_Reach;false;false;false;false;4;false
Botnic_And_Finnish_Gulf;false;false;false;false;1;false
Indian_Ocean;false;false;false;false;2;false
Farose_Reach;false;false;false;false;3;false
Adriatic_Sea;false;false;false;false;1;false
Rim_Of_The_World;false;false;false;false;3;false
Western_Ocean;false;false;false;false;6;false
Gulf_Of_Liguria;false;false;false;false;2;false
Ionian_Sea;false;false;false;false;5;false
The_Channel;false;false;false;false;3;false
Aegaean_Sea;false;false;false;false;4;false
Irish_Sea;false;false;false;false;2;false
Alboran_Sea;false;false;false;false;3;false
Azores_Reach;false;false;false;false;2;false
Central_Mediterranean;false;false;false;false;4;false
North_Sea;false;false;false;false;3;false
Dogger_Bank;false;false;false;false;3;false
Reach_Of_Egypt;false;false;false;false;4;false
Gulf_Of_Hormuz;false;false;false;false;1;false
Eastern_Black_Sea;false;false;false;false;1;false
Southern_Caspian;false;false;false;false;1;false
Reach_Of_Cyprus;false;false;false;false;2;false
Propontis;false;false;false;false;2;false
Skagerrak_And_Kattegat;false;false;false;false;3;false
Northern_Caspian;false;false;false;false;1;false
Red_Sea;false;false;false;false;1;false
Southern_Ocean;false;false;false;false;3;false
