extend *,based_on,name,militaryUnitType,cost_Gold,cost_Workers,cost_Food,cost_Levy,cost_Piety,cost_merc_Gold,upkeep_Gold,upkeep_Food,upkeep_merc_Gold,upkeep_merc_Food,size,tier,siege_strength,defense,CTH,CTH_shoot_mod,CTH_cavalry_mod,naval_CTH_perc,chance_to_shock,resilience,trample_chance,attack_interval,shoot_interval,attack_range,salvo_capacity,salvo_def,friendly_fire_mod,move_speed,run_speed_mul,charge_speed_mul,world_speed_mod,stamina_max,defense_against_ranged_mod,CTH_siege_vs_siege,defeat_under_num_units_mul
Spear_Militia_CE,Defense,Spear Militia,Light Defense Troops,200 Gold,3 Workers,25 Food,null,,,2 Gold,1 Food,4 Gold,0 Food,45,1,2,40,9,,1.25,0,2,25,,,,,,,,,,,0.6,125,,,
Crossbow_Militia_CE,Ranged,Crossbow Militia,Light Ranged Troops,250 Gold,3 Workers,25 Food,null,,1800 Gold,2 Gold,1 Food,4 Gold,0 Food,40,1,8,17,5,4,1.33,33,1,0,,,5,1,40,CrossboltSalvo,,2.25,,,0.6,125,,,
Cavalry_Militia_CE,HorseCavalry,Cavalry Militia,Light Cavalry,400 Gold,4 Workers,50 Food,null,,,2 Gold,1 Food,4 Gold,0 Food,35,1,3,42,23,,,-33,9,10,,,,,,,,,,,0.9,175,,,
AdvancedMilitia_IT,Militia,Italian City Militia,Light Militia Troops,250 Gold,3 Workers,25 Food,null,,300 Gold,2 Gold,1 Food,4 Gold,0 Food,50,1,4,30,18,,,0,3,5,,,,,,,,2.75,,,0.6,125,,,
Sword_Militia_IT,Infantry,Italian Sword Militia,Light Infantry,400 Gold,4 Workers,25 Food,null,,,2 Gold,1 Food,4 Gold,0 Food,50,1,4,24,24,,,0,4,5,,,,,,,,,,,0.6,125,,,
Spear_Militia_IT,Defense,Italian Spear Militia,Light Defense Troops,250 Gold,3 Workers,25 Food,null,,,2 Gold,1 Food,4 Gold,0 Food,50,1,2,40,9,,1.25,0,2,25,,,,,,,,,,,0.6,125,,,
Crossbow_Militia_IT,Ranged,Italian Crossbow Militia,Light Ranged Troops,300 Gold,3 Workers,25 Food,null,,1800 Gold,2 Gold,1 Food,4 Gold,0 Food,45,1,8,17,5,4,1.33,33,1,0,,,5,1,40,CrossboltSalvo,,2.25,,,0.6,125,,,
Cavalry_Militia_IT,HorseCavalry,Italian Cavalry Militia,Light Cavalry,500 Gold,4 Workers,50 Food,null,,,2 Gold,1 Food,4 Gold,0 Food,40,1,3,42,23,,,-33,9,10,,,,,,,,,,,0.9,175,,,
Heavy_Swordman_CE,HeavyInfantry,Heavy Infantry,Heavy Infantry,1200 Gold,1 Workers,50 Food,350 Levy,,2500 Gold,3 Gold,1 Food,5 Gold,0 Food,45,2,8,60,,,,0,8,20,,,,,,,,,,,0.8,200,,,
Heavy_Spearman_CE,HeavyDefense,Heavy Spearmen,Heavy Defense Troops,1000 Gold,1 Workers,50 Food,350 Levy,,2100 Gold,3 Gold,1 Food,5 Gold,0 Food,45,2,6,100,,,1.25,0,6,40,,,,,,,,,,,0.8,200,,,
Heavy_Archer_CE,HeavyRanged,Heavy Archers,Heavy Ranged Troops,800 Gold,1 Workers,75 Food,300 Levy,,1800 Gold,3 Gold,1 Food,5 Gold,0 Food,40,2,10,20,,,,0,4,10,,,,,,,,,,,0.8,200,,,
Heavy_Cavalry_CE,HeavyCavalry,Heavy Cavalry,Heavy Cavalry,1400 Gold,1 Workers,100 Food,250 Levy,,3000 Gold,3 Gold,1 Food,5 Gold,0 Food,35,2,7,115,,,,-33,13,25,,,,,,,,,,,1.1,250,,,
Hirdmen_Special,HeavyInfantry,Hirdmen,Heavy Infantry,500 Gold,2 Workers,150 Food,300 Levy,,,1 Gold,3 Food,,0 Food,30,2,8,72,26,,,,10,30,,,,,,,,,,,0.7,200,,,
Viking_Special,Infantry,Drengir,Light Infantry,100 Gold,2 Workers,75 Food,150 Levy,,1500 Gold,1 Gold,3 Food,5 Gold,0 Food,40,1,4,21,23,,,,7,25,,,,1,,,,2.85,,,0.75,200,0.8,,
Almogavars_Special,Infantry,Almogavars,Light Infantry,125 Gold,1 Workers,75 Food,300 Levy,,250 Gold,,3 Food,4 Gold,0 Food,40,1,5,18,24,,,0,9,15,,,,,,,,,,,0.8,200,,,
Welsh_Longbowman_Special,Ranged,Welsh Longbowmen,Heavy Ranged Troops,400 Gold,2 Workers,110 Food,300 Levy,,2200 Gold,,3 Food,6 Gold,0 Food,40,2,10,21,5,3.8,1.33,33,3,10,,,4,1,50,LongbowSalvo,,2.5,,,0.8,175,,,
Longbowman_Special,HeavyRanged,English Longbowmen,Elite Heavy Ranged Troops,600 Gold,2 Workers,100 Food,300 Levy,,2200 Gold,2 Gold,1 Food,6 Gold,0 Food,40,2,10,26,6,3.7,1.33,33,4,10,,,4,1,50,LongbowSalvo,,2.5,,,0.75,200,,,
Hobelar_Special,HorseCavalry,Hobelar Cavalry,Light Cavalry,200 Gold,1 Workers,150 Food,200 Levy,,2200 Gold,,3 Food,4 Gold,0 Food,30,1,2,42,22,,,-33,12,15,2,,,1.5,,,,6,,,1.0,225,,,
Jinetes_Special,RangedHorseCavalry,Jinetes Cavalry,Light Ranged Cavalry,200 Gold,1 Workers,100 Food,200 Levy,,2200 Gold,,3 Food,4 Gold,0 Food,30,1,5,32,20,1.25,,-33,8,20,,,2,1.15,3,JavelinSalvo,,6,,,1.1,250,,,
Norman_Special,HeavyCavalry,Norman Knights,Elite Heavy Cavalry,1000 Gold,2 Workers,200 Food,600 Levy,,1500 Gold,,4 Food,6 Gold,0 Food,25,2,10,88,41,,,-33,17,35,,,,1.1,,,,5,,,0.8,250,,,
Templar_Knight_Special,HeavyInfantry,Templar Knight Infantry,Elite Heavy Infantry,400 Gold,1 Workers,150 Food,400 Levy,500 Piety,null,1 Gold,4 Food,null,null,25,2,10,83,34,,,0,12,35,,,,1,,,,2,,,0.55,100,1.2,,
Hospitaller_Dismounted_Special,HeavyInfantry,Hospitaller Knight Infantry,Elite Heavy Infantry,600 Gold,1 Workers,200 Food,500 Levy,500 Piety,null,1 Gold,4 Food,null,null,25,2,10,85,35,,,0,12,40,,,,1,,,,2,,,0.55,100,1.2,,
Teutonic_Knight_Special,HeavyInfantry,Teutonic Knight Infantry,Elite Heavy Infantry,1000 Gold,1 Workers,200 Food,600 Levy,500 Piety,null,1 Gold,4 Food,null,null,25,3,10,112,36,,,0,12,45,,,,1.25,,,,2,,,0.55,100,0.8,,
Templar_Special,HeavyCavalry,Templar Knight Cavalry,Elite Heavy Cavalry,600 Gold,2 Workers,150 Food,400 Levy,500 Piety,null,1 Gold,4 Food,null,null,25,2,8,96,41,,,-33,18,40,,,,1.15,,,,5,,,0.75,150,,,
Hospitaller_Special,HeavyCavalry,Hospitaller Knight Cavalry,Elite Heavy Cavalry,800 Gold,2 Workers,200 Food,500 Levy,500 Piety,null,1 Gold,4 Food,null,null,25,2,8,99,42,,,-33,19,45,,,,1.15,,,,5,,,0.75,150,,,
Teutonic_Knight_Mounted_Special,HeavyCavalry,Teutonic Knight Cavalry,Elite Heavy Cavalry,1200 Gold,2 Workers,200 Food,600 Levy,500 Piety,null,1 Gold,4 Food,null,null,25,3,8,126,43,,,-33,20,50,,,,1.25,,,,5,,,0.75,150,,,
Light_Archers_Cuman,Ranged,Dismounted Horse Archers,Light Ranged Troops,100 Gold,0 Workers,200 Food,200 Levy,,1000 Gold,,3 Food,4 Gold,0 Food,35,0,6,16,6,2.75,,33,2,0,,,3,1,25,ShortbowSteppeSalvo,,,,,0.7,175,,,
Light_Horse_Archers_Cuman,RangedHorseCavalry,Horse Archers,Light Ranged Cavalry,100 Gold,0 Workers,200 Food,200 Levy,,1000 Gold,,3 Food,4 Gold,0 Food,30,1,4,28,23,0.75,,-25,5,10,,,,1,25,ShortbowSteppeSalvo,,5.75,1.6,1.6,1,275,,,
Light_Cavalry_Cuman,HorseCavalry,Light Cavalry,Light Cavalry,150 Gold,0 Workers,200 Food,200 Levy,,1000 Gold,,3 Food,4 Gold,0 Food,30,1,2,33,23,,,-33,10,15,,,,,,,,,,,1,300,,,
Veteran_Horse_Archers_Cuman,RangedHorseCavalry,Veteran Horse Archers,Elite Light Ranged Cavalry,150 Gold,0 Workers,250 Food,250 Levy,,1250 Gold,,4 Food,5 Gold,0 Food,30,1,6,29,24,1,,-25,7,15,,,,1,25,CompositeBowSteppeSalvo,,5.75,1.6,1.6,0.95,275,,,
Lancers_Cuman,HorseCavalry,Lancers,Light Cavalry,300 Gold,1 Workers,250 Food,300 Levy,,1500 Gold,,4 Food,5 Gold,0 Food,30,1,4,43,33,,,-33,15,20,,,,,,,,,,,0.9,250,,,
Heavy_Spearman_Cuman,HeavyDefense,Dismounted Lancers,Heavy Defense Troops,,,,,,,,,,,,,,,18,,3,,,,,,,,,,,,,,,120,,,
Heavy_Archer_Cuman,HeavyRanged,Heavy Archers,Heavy Ranged Troops,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,120,,,
Heavy_Horse_Archers_Cuman,HeavyRangedHorseCavalry,Heavy Horse Archers,Elite Heavy Ranged Cavalry,1000 Gold,2 Workers,200 Food,400 Levy,,2000 Gold,2 Gold,3 Food,6 Gold,0 Food,25,2,7,63,28,0.8,,-25,8,20,,,,1,25,CompositeBowSteppeSalvo,,5.75,1.6,1.6,0.85,200,,,
Heavy_Lancers_Cuman,HeavyCavalry,Heavy Lancers,Elite Heavy Cavalry,1500 Gold,3 Workers,200 Food,400 Levy,,2250 Gold,2 Gold,3 Food,6 Gold,0 Food,25,2,6,80,35,,,-33,15,30,,,,1.5,,,,5,,,0.85,150,,,
AdvancedMilitia_Cuman,Militia,City Militia,Light Militia Troops,200 Gold,3 Workers,25 Food,null,,300 Gold,2 Gold,1 Food,4 Gold,0 Food,45,1,4,30,18,,,0,3,5,,,,,,,,2.75,,,0.6,125,,,
Sword_Militia_Cuman,Infantry,Sword Militia,Light Infantry,300 Gold,4 Workers,25 Food,null,,,2 Gold,1 Food,4 Gold,0 Food,45,1,4,24,24,,,0,4,5,,,,,,,,,,,0.6,125,,,
Spear_Militia_Cuman,Defense,Spear Militia,Light Defense Troops,200 Gold,3 Workers,25 Food,null,,,2 Gold,1 Food,4 Gold,0 Food,45,1,2,40,9,,1.25,0,2,25,,,,,,,,,,,0.6,125,,,
Crossbow_Militia_Cuman,Ranged,Crossbow Militia,Light Ranged Troops,250 Gold,3 Workers,25 Food,null,,1800 Gold,2 Gold,1 Food,4 Gold,0 Food,40,1,8,17,5,4,1.33,33,1,0,,,5,1,40,CrossboltSalvo,,2.25,,,0.6,125,,,
Cavalry_Militia_Cuman,HorseCavalry,Cavalry Militia,Light Cavalry,400 Gold,4 Workers,50 Food,null,,,2 Gold,1 Food,4 Gold,0 Food,35,1,3,42,23,,,-33,9,10,,,,,,,,,,,0.9,175,,,
Marshal_Steppe,Noble,Noblemen Cavalry,Elite Heavy Cavalry,,,,,,,null,null,,,25,2,5,65,35,,,-33,15,30,,,,1.5,,,,5,,,0.9,200,,,
Marshal_Guard_Steppe,Marshal_Steppe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshal_Rebel_Steppe,Marshal_Steppe,Rebel Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshal_Guard_Rebel_Steppe,Marshal_Rebel_Steppe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pechenegs_Special,RangedHorseCavalry,Pechenegs,Elite Light Ranged Cavalry,600 Gold,0 Workers,100 Food,50 Levy,,1000 Gold,1 Gold,3 Food,4 Gold,0 Food,30,1,4,31,23,0.75,,-25,5,10,,,,1,25,ShortbowSteppeSalvo,,5.75,1.6,1.6,1,275,,,
